frame,cluster_id,x,y,cluster_size,source_sample_index,source_local_cluster_id
1481,1009720,460.0,549.5,1,2858,0
1481,1009721,1847.0,632.5,1,2859,0
1481,1009722,769.5,550.75,2,2860,0
1481,1009723,228.0,634.0,1,2861,0
1481,1009724,769.5,550.75,2,2862,0
1491,1009720,460.0,549.5,1,2858,0
1491,1009721,1847.0,632.5,1,2859,0
1491,1009722,769.5,550.75,2,2860,0
1491,1009723,228.0,634.0,1,2861,0
1491,1009724,769.5,550.75,2,2862,0
1501,1009720,460.0,549.5,1,2858,0
1501,1009721,1847.0,632.5,1,2859,0
1501,1009722,769.5,550.75,2,2860,0
1501,1009723,228.0,634.0,1,2861,0
1501,1009724,769.5,550.75,2,2862,0
1511,1009720,460.0,549.5,1,2858,0
1511,1009721,1847.0,632.5,1,2859,0
1511,1009722,769.5,550.75,2,2860,0
1511,1009723,228.0,634.0,1,2861,0
1511,1009724,769.5,550.75,2,2862,0
1521,1009720,460.0,549.5,1,2858,0
1521,1009721,1847.0,632.5,1,2859,0
1521,1009722,769.5,550.75,2,2860,0
1521,1009723,228.0,634.0,1,2861,0
1521,1009724,769.5,550.75,2,2862,0
1531,1009720,460.0,549.5,1,2858,0
1531,1009721,1847.0,632.5,1,2859,0
1531,1009722,769.5,550.75,2,2860,0
1531,1009723,228.0,634.0,1,2861,0
1531,1009724,769.5,550.75,2,2862,0
1541,1009720,460.0,549.5,1,2858,0
1541,1009721,1847.0,632.5,1,2859,0
1541,1009722,769.5,550.75,2,2860,0
1541,1009723,228.0,634.0,1,2861,0
1541,1009724,769.5,550.75,2,2862,0
1551,1009720,460.0,549.5,1,2858,0
1551,1009721,1847.0,632.5,1,2859,0
1551,1009722,769.5,550.75,2,2860,0
1551,1009723,228.0,634.0,1,2861,0
1551,1009724,769.5,550.75,2,2862,0
1561,1009720,460.0,549.5,1,2858,0
1561,1009721,1847.0,632.5,1,2859,0
1561,1009722,769.5,550.75,2,2860,0
1561,1009723,228.0,634.0,1,2861,0
1561,1009724,769.5,550.75,2,2862,0
1571,1009720,465.0,549.5,1,2858,0
1571,1009721,1838.0,630.0,1,2859,0
1571,1009722,771.5,551.0,2,2860,0
1571,1009723,241.5,631.5,1,2861,0
1571,1009724,771.5,551.0,2,2862,0
1581,1009720,465.0,549.5,1,2858,0
1581,1009721,1838.0,630.0,1,2859,0
1581,1009722,771.5,551.0,2,2860,0
1581,1009723,241.5,631.5,1,2861,0
1581,1009724,771.5,551.0,2,2862,0
1591,1009720,465.0,549.5,1,2858,0
1591,1009721,1838.0,630.0,1,2859,0
1591,1009722,771.5,551.0,2,2860,0
1591,1009723,241.5,631.5,1,2861,0
1591,1009724,771.5,551.0,2,2862,0
1601,1009720,465.0,549.5,1,2858,0
1601,1009721,1838.0,630.0,1,2859,0
1601,1009722,771.5,551.0,2,2860,0
1601,1009723,241.5,631.5,1,2861,0
1601,1009724,771.5,551.0,2,2862,0
1611,1009720,465.0,549.5,1,2858,0
1611,1009721,1838.0,630.0,1,2859,0
1611,1009722,771.5,551.0,2,2860,0
1611,1009723,241.5,631.5,1,2861,0
1611,1009724,771.5,551.0,2,2862,0
1621,1009720,465.0,549.5,1,2858,0
1621,1009721,1838.0,630.0,1,2859,0
1621,1009722,771.5,551.0,2,2860,0
1621,1009723,241.5,631.5,1,2861,0
1621,1009724,771.5,551.0,2,2862,0
1631,1009720,465.0,549.5,1,2858,0
1631,1009721,1838.0,630.0,1,2859,0
1631,1009722,771.5,551.0,2,2860,0
1631,1009723,241.5,631.5,1,2861,0
1631,1009724,771.5,551.0,2,2862,0
1641,1009720,465.0,549.5,1,2858,0
1641,1009721,1838.0,630.0,1,2859,0
1641,1009722,771.5,551.0,2,2860,0
1641,1009723,241.5,631.5,1,2861,0
1641,1009724,771.5,551.0,2,2862,0
1651,1009720,465.0,549.5,1,2858,0
1651,1009721,1838.0,630.0,1,2859,0
1651,1009722,771.5,551.0,2,2860,0
1651,1009723,241.5,631.5,1,2861,0
1651,1009724,771.5,551.0,2,2862,0
1661,1009720,465.0,549.5,1,2858,0
1661,1009721,1838.0,630.0,1,2859,0
1661,1009722,771.5,551.0,2,2860,0
1661,1009723,241.5,631.5,1,2861,0
1661,1009724,771.5,551.0,2,2862,0
1671,1009720,471.0,550.0,1,2858,0
1671,1009721,1875.0,629.5,1,2859,0
1671,1009722,773.5,551.0,2,2860,0
1671,1009723,206.5,627.5,1,2861,0
1671,1009724,773.5,551.0,2,2862,0
